gc,target,w
0.75,0,115
0.76,5,115
0.77,1,115
0.78,5,115
0.79,4,115
0.8,1,115
0.2,16,116
0.21,28,116
0.22,81,116
0.23,69,116
0.24,88,116
0.25,92,116
0.26,153,116
0.27,145,116
0.28,352,116
0.29,216,116
0.3,241,116
0.31,260,116
0.32,278,116
0.33,319,116
0.34,616,116
0.35,346,116
0.36,323,116
0.37,354,116
0.38,325,116
0.39,320,116
0.4,320,116
0.41,599,116
0.42,282,116
0.43,258,116
0.44,256,116
0.45,277,116
0.46,268,116
0.47,460,116
0.48,258,116
0.49,205,116
0.5,204,116
0.51,194,116
0.52,179,116
0.53,338,116
0.54,152,116
0.55,155,116
0.56,122,116
0.57,106,116
0.58,102,116
0.59,142,116
0.6,52,116
0.61,52,116
0.62,53,116
0.63,40,116
0.64,33,116
0.65,33,116
0.66,44,116
0.67,14,116
0.68,13,116
0.69,13,116
0.7,6,116
0.71,7,116
0.72,14,116
0.73,6,116
0.74,7,116
0.75,1,116
0.76,4,116
0.77,0,116
0.78,8,116
0.79,2,116
0.8,1,116
0.2,16,117
0.21,62,117
0.22,36,117
0.23,68,117
0.24,81,117
0.25,86,117
0.26,287,117
0.27,148,117
0.28,188,117
0.29,206,117
0.3,230,117
0.31,239,117
0.32,575,117
0.33,328,117
0.34,303,117
0.35,334,117
0.36,311,117
0.37,347,117
0.38,656,117
0.39,327,117
0.4,305,117
0.41,300,117
0.42,283,117
0.43,267,117
0.44,527,117
0.45,258,117
0.46,230,117
0.47,248,117
0.48,231,117
0.49,241,117
0.5,385,117
0.51,199,117
0.52,180,117
0.53,168,117
0.54,157,117
0.55,137,117
0.56,259,117
0.57,98,117
0.58,90,117
0.59,80,117
0.6,51,117
0.61,51,117
0.62,105,117
0.63,36,117
0.64,29,117
0.65,32,117
0.66,26,117
0.67,13,117
0.68,28,117
0.69,11,117
0.7,5,117
0.71,7,117
0.72,7,117
0.73,6,117
0.74,12,117
0.75,2,117
0.76,3,117
0.77,0,117
0.78,4,117
0.79,6,117
0.8,1,117
0.2,23,118
0.21,31,118
0.22,34,118
0.23,57,118
0.24,81,118
0.25,201,118
0.26,158,118
0.27,138,118
0.28,172,118
0.29,205,118
0.3,217,118
0.31,512,118
0.32,284,118
0.33,300,118
0.34,321,118
0.35,328,118
0.36,661,118
0.37,324,118
0.38,321,118
0.39,320,118
0.4,311,118
0.41,300,118
0.42,561,118
0.43,256,118
0.44,270,118
0.45,255,118
0.46,228,118
0.47,475,118
0.48,238,118
0.49,213,118
0.5,203,118
0.51,198,118
0.52,194,118
0.53,327,118
0.54,151,118
0.55,140,118
0.56,112,118
0.57,108,118
0.58,195,118
0.59,59,118
0.6,48,118
0.61,56,118
0.62,51,118
0.63,44,118
0.64,64,118
0.65,30,118
0.66,16,118
0.67,15,118
0.68,14,118
0.69,21,118
0.7,6,118
0.71,8,118
0.72,7,118
0.73,5,118
0.74,8,118
0.75,4,118
0.76,3,118
0.77,1,118
0.78,4,118
0.79,4,118
0.8,1,118
0.2,21,119
0.21,29,119
0.22,31,119
0.23,54,119
0.24,157,119
0.25,107,119
0.26,146,119
0.27,131,119
0.28,164,119
0.29,409,119
0.3,205,119
0.31,265,119
0.32,303,119
0.33,287,119
0.34,635,119
0.35,307,119
0.36,343,119
0.37,330,119
0.38,291,119
0.39,663,119
0.4,315,119
0.41,281,119
0.42,288,119
0.43,242,119
0.44,265,119
0.45,504,119
0.46,248,119
0.47,231,119
0.48,227,119
0.49,226,119
0.5,395,119
0.51,206,119
0.52,167,119
0.53,166,119
0.54,160,119
0.55,269,119
0.56,116,119
0.57,85,119
0.58,109,119
0.59,79,119
0.6,45,119
0.61,110,119
0.62,47,119
0.63,43,119
0.64,27,119
0.65,27,119
0.66,41,119
0.67,17,119
0.68,11,119
0.69,11,119
0.7,8,119
0.71,18,119
0.72,4,119
0.73,8,119
0.74,5,119
0.75,1,119
0.76,4,119
0.77,2,119
0.78,4,119
0.79,4,119
0.8,0,119
0.2,18,120
0.21,28,120
0.22,75,120
0.23,70,120
0.24,76,120
0.25,98,120
0.26,136,120
0.27,140,120
0.28,323,120
0.29,206,120
0.3,218,120
0.31,238,120
0.32,585,120
0.33,313,120
0.34,320,120
0.35,301,120
0.36,325,120
0.37,331,120
0.38,628,120
0.39,332,120
0.4,313,120
0.41,297,120
0.42,519,120
0.43,261,120
0.44,275,120
0.45,229,120
0.46,265,120
0.47,217,120
0.48,454,120
0.49,221,120
0.5,195,120
0.51,195,120
0.52,351,120
0.53,170,120
0.54,151,120
0.55,130,120
0.56,114,120
0.57,98,120
0.58,203,120
0.59,59,120
0.6,52,120
0.61,51,120
0.62,98,120
0.63,37,120
0.64,22,120
0.65,27,120
0.66,24,120
0.67,13,120
0.68,29,120
0.69,7,120
0.7,9,120
0.71,10,120
0.72,14,120
0.73,4,120
0.74,5,120
0.75,2,120
0.76,2,120
0.77,2,120
0.78,5,120
0.79,4,120
0.8,1,120
0.2,21,121
0.21,56,121
0.22,37,121
0.23,64,121
0.24,72,121
0.25,88,121
0.26,256,121
0.27,154,121
0.28,165,121
0.29,197,121
0.3,217,121
0.31,498,121
0.32,280,121
0.33,311,121
0.34,320,121
0.35,303,121
0.36,661,121
0.37,306,121
0.38,319,121
0.39,316,121
0.4,625,121
0.41,257,121
0.42,249,121
0.43,277,121
0.44,250,121
0.45,506,121
0.46,246,121
0.47,212,121
0.48,229,121
0.49,205,121
0.5,426,121
0.51,190,121
0.52,167,121
0.53,167,121
0.54,159,121
0.55,270,121
0.56,97,121
0.57,105,121
0.58,101,121
0.59,73,121
0.6,106,121
0.61,53,121
0.62,54,121
0.63,35,121
0.64,53,121
0.65,27,121
0.66,18,121
0.67,18,121
0.68,10,121
0.69,20,121
0.7,12,121
0.71,7,121
0.72,8,121
0.73,7,121
0.74,7,121
0.75,2,121
0.76,1,121
0.77,2,121
0.78,3,121
0.79,6,121
0.8,1,121
0.2,43,122
0.21,23,122
0.22,38,122
0.23,57,122
0.24,69,122
0.25,202,122
0.26,127,122
0.27,146,122
0.28,158,122
0.29,171,122
0.3,436,122
0.31,273,122
0.32,268,122
0.33,301,122
0.34,622,122
0.35,309,122
0.36,310,122
0.37,329,122
0.38,308,122
0.39,642,122
0.4,314,122
0.41,277,122
0.42,259,122
0.43,507,122
0.44,269,122
0.45,230,122
0.46,244,122
0.47,221,122
0.48,447,122
0.49,210,122
0.5,208,122
0.51,212,122
0.52,339,122
0.53,162,122
0.54,139,122
0.55,142,122
0.56,120,122
0.57,194,122
0.58,94,122
0.59,58,122
0.6,50,122
0.61,108,122
0.62,43,122
0.63,33,122
0.64,28,122
0.65,28,122
0.66,38,122
0.67,16,122
0.68,13,122
0.69,11,122
0.7,16,122
0.71,8,122
0.72,8,122
0.73,5,122
0.74,5,122
0.75,5,122
0.76,0,122
0.77,2,122
0.78,5,122
0.79,3,122
0.8,3,122
0.2,42,123
0.21,23,123
0.22,35,123
0.23,45,123
0.24,144,123
0.25,110,123
0.26,127,123
0.27,138,123
0.28,316,123
0.29,207,123
0.3,220,123
0.31,249,123
0.32,278,123
0.33,567,123
0.34,328,123
0.35,316,123
0.36,299,123
0.37,640,123
0.38,333,123
0.39,300,123
0.4,293,123
0.41,575,123
0.42,244,123
0.43,246,123
0.44,277,123
0.45,252,123
0.46,428,123
0.47,252,123
0.48,212,123
0.49,225,123
0.5,402,123
0.51,208,123
0.52,172,123
0.53,151,123
0.54,291,123
0.55,138,123
0.56,103,123
0.57,103,123
0.58,88,123
0.59,130,123
0.6,60,123
0.61,43,123
0.62,50,123
0.63,68,123
0.64,26,123
0.65,30,123
0.66,16,123
0.67,33,123
0.68,12,123
0.69,11,123
0.7,8,123
0.71,5,123
0.72,18,123
0.73,5,123
0.74,4,123
0.75,3,123
0.76,1,123
0.77,5,123
0.78,3,123
0.79,3,123
0.8,3,123
0.2,29,124
0.21,21,124
0.22,30,124
0.23,100,124
0.24,75,124
0.25,90,124
0.26,131,124
0.27,289,124
0.28,152,124
0.29,193,124
0.3,222,124
0.31,504,124
0.32,265,124
0.33,281,124
0.34,301,124
0.35,628,124
0.36,335,124
0.37,322,124
0.38,305,124
0.39,298,124
0.4,611,124
0.41,277,124
0.42,253,124
0.43,247,124
0.44,524,124
0.45,226,124
0.46,219,124
0.47,230,124
0.48,447,124
0.49,220,124
0.5,186,124
0.51,206,124
0.52,359,124
0.53,142,124
0.54,155,124
0.55,138,124
0.56,217,124
0.57,92,124
0.58,84,124
0.59,66,124
0.6,100,124
0.61,49,124
0.62,39,124
0.63,39,124
0.64,30,124
0.65,51,124
0.66,18,124
0.67,19,124
0.68,11,124
0.69,21,124
0.7,8,124
0.71,8,124
0.72,9,124
0.73,9,124
0.74,5,124
0.75,3,124
0.76,0,124
0.77,5,124
0.78,5,124
0.79,2,124
0.8,0,124
0.2,25,125
0.21,28,125
0.22,53,125
0.23,65,125
0.24,64,125
0.25,82,125
0.26,253,125
0.27,157,125
0.28,156,125
0.29,163,125
0.3,465,125
0.31,241,125
0.32,260,125
0.33,282,125
0.34,620,125
0.35,297,125
0.36,321,125
0.37,341,125
0.38,596,125
0.39,301,125
0.4,309,125
0.41,270,125
0.42,516,125
0.43,253,125
0.44,272,125
0.45,222,125
0.46,451,125
0.47,220,125
0.48,233,125
0.49,203,125
0.5,415,125
0.51,197,125
0.52,167,125
0.53,141,125
0.54,307,125
0.55,121,125
0.56,116,125
0.57,101,125
0.58,157,125
0.59,56,125
0.6,54,125
0.61,49,125
0.62,79,125
0.63,36,125
0.64,32,125
0.65,26,125
0.66,42,125
0.67,10,125
0.68,9,125
0.69,13,125
0.7,18,125
0.71,8,125
0.72,7,125
0.73,5,125
0.74,9,125
0.75,2,125
0.76,0,125
0.77,5,125
0.78,6,125
0.79,1,125
0.8,1,125
0.2,20,126
0.21,57,126
0.22,22,126
0.23,58,126
0.24,60,126
0.25,186,126
0.26,123,126
0.27,164,126
0.28,142,126
0.29,362,126
0.3,236,126
0.31,246,126
0.32,246,126
0.33,551,126
0.34,310,126
0.35,320,126
0.36,316,126
0.37,639,126
0.38,305,126
0.39,293,126
0.4,591,126
0.41,259,126
0.42,278,126
0.43,231,126
0.44,510,126
0.45,214,126
0.46,219,126
0.47,229,126
0.48,435,126
0.49,208,126
0.5,202,126
0.51,208,126
0.52,333,126
0.53,145,126
0.54,158,126
0.55,137,126
0.56,217,126
0.57,108,126
0.58,63,126
0.59,75,126
0.6,101,126
0.61,47,126
0.62,31,126
0.63,73,126
0.64,31,126
0.65,27,126
0.66,20,126
0.67,26,126
0.68,11,126
0.69,11,126
0.7,9,126
0.71,18,126
0.72,6,126
0.73,5,126
0.74,2,126
0.75,6,126
0.76,1,126
0.77,4,126
0.78,1,126
0.79,6,126
0.8,1,126
0.2,44,127
0.21,27,127
0.22,19,127
0.23,54,127
0.24,131,127
0.25,96,127
0.26,122,127
0.27,154,127
0.28,293,127
0.29,190,127
0.3,220,127
0.31,500,127
0.32,251,127
0.33,291,127
0.34,289,127
0.35,617,127
0.36,304,127
0.37,337,127
0.38,312,127
0.39,596,127
0.4,292,127
0.41,257,127
0.42,276,127
0.43,501,127
0.44,251,127
0.45,221,127
0.46,441,127
0.47,217,127
0.48,226,127
0.49,196,127
0.5,427,127
0.51,194,127
0.52,148,127
0.53,147,127
0.54,308,127
0.55,119,127
0.56,109,127
0.57,187,127
0.58,72,127
0.59,63,127
0.6,51,127
0.61,92,127
0.62,31,127
0.63,38,127
0.64,38,127
0.65,42,127
0.66,26,127
0.67,10,127
0.68,8,127
0.69,22,127
0.7,11,127
0.71,8,127
0.72,15,127
0.73,3,127
0.74,4,127
0.75,2,127
0.76,2,127
0.77,4,127
0.78,1,127
0.79,6,127
0.8,1,127
0.2,37,128
0.21,31,128
0.22,18,128
0.23,97,128
0.24,73,128
0.25,87,128
0.26,114,128
0.27,289,128
0.28,140,128
0.29,193,128
0.3,425,128
0.31,249,128
0.32,253,128
0.33,285,128
0.34,596,128
0.35,301,128
0.36,315,128
0.37,319,128
0.38,603,128
0.39,312,128
0.4,271,128
0.41,544,128
0.42,262,128
0.43,255,128
0.44,245,128
0.45,436,128
0.46,232,128
0.47,208,128
0.48,437,128
0.49,210,128
0.5,208,128
0.51,223,128
0.52,302,128
0.53,160,128
0.54,142,128
0.55,251,128
0.56,105,128
0.57,96,128
